"arm","rep","condition","method","n","n_used","elapsed","error_msg","silhouette","davies_bouldin","nmi","ess_retention","rv_coefficient","effect_bias","nystrom_error","silhouette_anchor","davies_bouldin_anchor","nmi_anchor","ess_retention_anchor"
"C",6,"complete","DIABLO",300,300,0.771,"",0.73022849048148,0.403775318594017,1,1,0.873543649826698,0.148090800236601,NA,0.73022849048148,0.403775318594017,1,1
"C",6,"complete","MOFA2",300,300,16.366,"",0.57349686899042,0.695655670320875,1,1,0.977547483221359,0.109245495836679,NA,0.57349686899042,0.695655670320875,1,1
"C",6,"mcar30","GRAMA",300,293,1.409,"",0.0827203977515808,1.73869573918874,0.455814344928531,0.976666666666667,0.321724544870761,0.269892626349401,NA,0.338512310099348,1.12927261941102,1,1
"C",6,"mcar30","DIABLO",300,135,0.282,"",0.727798477931889,0.4167196512496,1,0.45,0.909952346621663,0.290957948832529,NA,0.727798477931889,0.4167196512496,1,1
"C",6,"mcar30","MOFA2",300,293,2.293,"",0.555164557581774,0.699310653903064,0.931539762969579,1,0.876606888848379,0.0843344416228623,NA,0.600668043377077,0.637378321468012,1,1
"C",6,"mcar30","ImputeDIABLO",300,300,2.037,"",0.574632442876516,0.626456110634112,0.96218476856195,1,0.769958829358388,0.285821668861877,NA,0.740016034444044,0.396152775125163,1,1
"C",6,"mcar50","GRAMA",300,264,1.271,"",-0.0661405252199124,17.7126362446093,0.0646768409631973,0.88,0.0690650430519953,0.205693005993863,NA,-0.0788672135755177,2.48147799998208,0.273618094809627,1
"C",6,"mcar50","DIABLO",300,54,0.258000000000003,"",0.676015143981607,0.505133286845175,1,0.18,0.744227935533608,0.368884188455102,NA,0.676015143981607,0.505133286845175,1,1
"C",6,"mcar50","MOFA2",300,264,2.51,"",0.437901844174388,0.875346490951024,0.782555945284046,1,0.698539110877415,0.157635108632289,NA,0.58907783444696,0.693089061507254,1,1
"C",6,"mcar50","ImputeDIABLO",300,300,1.70800000000001,"",0.427637800516421,0.849909532664329,0.788513550784908,1,0.653849459708351,0.204674705918229,NA,0.695645307673842,0.472536443718805,1,1
"C",6,"mar","GRAMA",300,282,1.32,"",0.0307613328305373,5.7814418342866,0.403630891547145,0.94,0.307018100428432,0.323424920829032,NA,0.501731265890829,1.58342029293965,0.71739320158867,1
"C",6,"mar","DIABLO",300,110,0.252000000000002,"",0.689837564594249,0.42869638869056,1,0.366666666666667,0.840577189142187,0.224603823983356,NA,0.689837564594249,0.42869638869056,1,1
"C",6,"mar","MOFA2",300,282,2.428,"",0.473943349407519,0.843070586433631,0.869400272054775,1,0.753839453378066,0.20214863840166,NA,0.580176102708952,0.672200038943719,1,1
"C",6,"mar","ImputeDIABLO",300,300,1.714,"",0.517544801300135,0.727015727481511,0.858771638581023,1,0.728162536010987,0.290781956447518,NA,0.711800442162792,0.417521962403487,1,1
"C",7,"complete","GRAMA",300,300,2.052,"",0.801770289724405,0.262020570297947,0.965039972956862,1,0.511521545804196,0.560122444512585,NA,0.801770289724405,0.262020570297947,0.965039972956862,1
