"arm","rep","condition","method","n","V","n_used","elapsed","error_msg","silhouette","davies_bouldin","nmi","ess_retention","rv_coefficient","effect_bias","nystrom_error","silhouette_anchor","davies_bouldin_anchor","nmi_anchor","ess_retention_anchor","ber","ber_anchor"
"A",89,"mcar50","MOFA2",300,2,300,5.82300000000004,"",-0.0270514206217847,7.57074244592358,0.0283995540187907,1,0.291826679545387,0.913744856705631,NA,-0.0576697171282461,3.04978662817243,0.157852555470897,1,NA,NA
"A",89,"mcar50","ImputeDIABLO",300,2,300,3.02699999999999,"",-0.0430316410676517,3.44848745639468,0.0948964428520079,1,0.214478949479729,1.55431307211327,NA,-0.0114837650979358,2.67153727236111,0.215790440609335,1,NA,NA
"A",89,"mar","GRAMA",300,2,300,24.079,"",0.142756949357674,2.783680194026,0.243576137512022,1,0.0912640367857759,1.82400668696399,NA,0.708818339852394,0.485325568011193,1,1,0.699593495934959,NA
"A",89,"mar","DIABLO",300,2,152,48.022,"",0.0360442567313352,2.66668811339666,0.146649909240107,0.506666666666667,0.296804553384958,4.13913211218295,NA,0.0360442567313352,2.66668811339666,0.159543560782468,1,0.675895200958279,NA
"A",89,"mar","MOFA2",300,2,300,3.66500000000002,"",-0.0360552089556083,10.1620938737017,0.0263116173660859,1,0.323238705741834,0.346896543229086,NA,-0.000116791714371688,9.30816985542958,0.0810289300670208,1,NA,NA
"A",89,"mar","ImputeDIABLO",300,2,300,3.572,"",-0.0163253358944064,3.80814918194035,0.0458099789107245,1,0.12211984601936,1.04159451964142,NA,-0.00757342699805236,3.16139811934785,0.123737188559969,1,NA,NA
"A",90,"complete","GRAMA",300,2,300,35.238,"",0.717392457053004,0.501637135844434,1,1,0.173351215727786,1.49683456353876,NA,0.717392457053004,0.501637135844434,1,1,0.706666666666667,NA
"A",90,"complete","DIABLO",300,2,300,70.387,"",-0.00895609025219675,3.26121271114302,0.148943511001853,1,0.475458244829082,1.89037613297423,NA,-0.00895609025219675,3.26121271114302,0.148943511001853,1,0.65,NA
"A",90,"complete","MOFA2",300,2,300,19.821,"",-0.0432835721412302,5.91954055702864,0.0819938096098871,1,0.603462750941369,0.950924004699745,NA,-0.0432835721412302,5.91954055702864,0.0819938096098871,1,NA,NA
"A",90,"mcar30","GRAMA",300,2,300,16.965,"",0.139726958435129,2.86749123119815,0.227415732258035,1,0.0586265278308798,1.3284132422715,NA,0.818348008675594,0.360128286326295,1,1,0.646713822575891,NA
"A",90,"mcar30","DIABLO",300,2,144,47.078,"",0.0256091516768228,2.40532192671744,0.198511056811342,0.48,0.488873392308876,1.91496750393409,NA,0.0256091516768228,2.40532192671744,0.198511056811342,1,0.74237400530504,NA
"A",90,"mcar30","MOFA2",300,2,300,4.892,"",-0.0353681689958206,12.7035726059315,0.0400059579616165,1,0.313986809497212,1.07599797309613,NA,-0.0577671489911423,5.11915174564988,0.133706754170134,1,NA,NA
"A",90,"mcar30","ImputeDIABLO",300,2,300,3.74700000000001,"",-0.0199106170450209,3.34283725112539,0.0367532005350753,1,0.216268413280855,1.15206430922383,NA,-0.00124841074506095,2.69278778368543,0.13281853319254,1,NA,NA
"A",90,"mcar50","GRAMA",300,2,300,7.405,"",0.0175454962390567,3.82628732268222,0.152948517355215,1,0.0731691871024618,1.34131423758942,NA,0.764339067421968,0.492102703923116,1,1,0.783549783549784,NA
"A",90,"mcar50","DIABLO",300,2,71,36.86,"",0.0444231301699786,2.11518895146426,0.175757271391937,0.236666666666667,0.302051436193332,8.19675848549482,NA,0.0444231301699786,2.11518895146426,0.175757271391937,1,0.775974025974026,NA
"A",90,"mcar50","MOFA2",300,2,300,4.054,"",-0.0323126694102119,8.18142564926313,0.0367579892611894,1,0.241086950758439,1.23963702056616,NA,-0.0699278777716516,5.05538829857036,0.128147628135489,1,NA,NA
"A",90,"mcar50","ImputeDIABLO",300,2,300,3.09399999999999,"",0.011247465510166,2.96623215238371,0.0675333922958865,1,0.168170988985079,0.921652527790872,NA,-0.00552964965004992,2.71419627348229,0.0861842414513073,1,NA,NA
"A",90,"mar","GRAMA",300,2,300,28.502,"",0.15573470021509,3.24340263427858,0.239263442317106,1,0.0692169727123484,1.39155455212078,NA,0.785424195612354,0.391742634549748,1,1,0.666808485407893,NA
"A",90,"mar","DIABLO",300,2,156,49.1439999999999,"",0.0575875110576641,2.22843118517484,0.191437124543118,0.52,0.403129787229151,1.57927664045159,NA,0.0575875110576641,2.22843118517484,0.191437124543118,1,0.680596952739906,NA
"A",90,"mar","MOFA2",300,2,300,5.94299999999998,"",-0.042427855040426,12.49391271323,0.0625173477164015,1,0.347701760244574,0.628800520284655,NA,-0.0370673375016595,6.67963492651847,0.103975121997881,1,NA,NA
"A",90,"mar","ImputeDIABLO",300,2,300,3.85199999999998,"",-0.0196535081536418,3.52640198524359,0.0465213912511055,1,0.156418882481445,1.61193790721167,NA,-0.00340546851018368,3.0524359890477,0.075405893375009,1,NA,NA
"A",91,"complete","GRAMA",300,2,300,73.541,"",0.892506334951876,0.236069742955129,1,1,0.0909413870780852,0.723728216980475,NA,0.892506334951876,0.236069742955129,1,1,0.613333333333333,NA
"A",91,"complete","DIABLO",300,2,300,69.929,"",0.00193546699395291,3.178926848025,0.167026545216635,1,0.423315727618213,1.12961356066044,NA,0.00193546699395291,3.178926848025,0.167026545216635,1,0.666666666666667,NA
"A",91,"complete","MOFA2",300,2,300,12.052,"",-0.0450514990417523,6.70601188892936,0.071789709400541,1,0.699428517347939,0.553307514216166,NA,-0.0450514990417523,6.70601188892936,0.071789709400541,1,NA,NA
"A",91,"mcar30","GRAMA",300,2,300,14.221,"",0.142733885664294,2.65136885212065,0.251609853796315,1,0.0670884385245525,1.06173436636345,NA,0.803987670175266,0.413635676687005,1,1,0.683775466893039,NA
"A",91,"mcar30","DIABLO",300,2,140,45.727,"",0.0617270964951759,2.46491433772026,0.246407330863042,0.466666666666667,0.345750018426567,2.27505602800027,NA,0.0617270964951759,2.46491433772026,0.246407330863042,1,0.691489813242784,NA
"A",91,"mcar30","MOFA2",300,2,300,2.904,"",-0.0321770063222463,8.25942604679343,0.0365778037705264,1,0.333917995386079,1.12739714237266,NA,-0.052066212062428,5.73989859279193,0.0730932208866105,1,NA,NA
