"rep","parameter","value","sil_anchor","elapsed","error"
20,"k_nn",3,0.864103787722454,0.503,""
20,"k_nn",5,0.893501621855893,0.624999999999998,""
20,"k_nn",10,0.916881593713123,0.614999999999998,""
20,"k_nn",15,0.926055272713938,0.489999999999998,""
20,"k_nn",25,0.933192125344566,0.501999999999999,""
20,"k_nn",50,0.941932132600972,0.640999999999998,""
21,"lambda",1e-04,0.713969380580863,0.823,""
21,"lambda",0.001,0.713968562892987,0.705,""
21,"lambda",0.005,0.71396463914583,0.694,""
21,"lambda",0.01,0.713959188223563,0.678,""
21,"lambda",0.05,0.713898520036435,0.677,""
21,"lambda",0.1,0.713788158988076,0.676,""
21,"lambda",0.5,0.712034187913139,0.675,""
21,"lambda",1,0.708601808095138,0.653,""
21,"gamma_y",0,-0.0537287439736582,0.645999999999999,""
21,"gamma_y",0.1,0.713921955485018,0.686,""
21,"gamma_y",0.5,0.713959433294632,0.669,""
21,"gamma_y",1,0.713959188223563,0.667,""
21,"gamma_y",2,0.713958556484355,0.678000000000001,""
21,"gamma_y",5,0.713958003247262,0.666,""
21,"gamma_y",10,0.713957795504443,0.654,""
21,"gamma_y",20,0.713957691036214,0.676,""
21,"k_nn",3,0.737321811169325,0.523,""
21,"k_nn",5,0.713809082702401,0.51,""
21,"k_nn",10,0.713959188223563,0.634,""
21,"k_nn",15,0.716470190948232,0.649999999999999,""
21,"k_nn",25,0.7221980632189,0.638000000000002,""
21,"k_nn",50,0.721100835365613,0.566000000000003,""
22,"lambda",1e-04,0.731875881127318,0.813,""
22,"lambda",0.001,0.731873882668344,0.708,""
22,"lambda",0.005,0.731864651742638,0.677,""
22,"lambda",0.01,0.731852670387256,0.652,""
22,"lambda",0.05,0.731742218037191,0.665,""
22,"lambda",0.1,0.731574540311592,0.659,""
22,"lambda",0.5,0.729465656978128,0.652,""
22,"lambda",1,0.725651733150101,0.646000000000001,""
22,"gamma_y",0,-0.0936140862468175,0.635000000000002,""
22,"gamma_y",0.1,0.731806858393894,0.644,""
